HomeCourt   top10   top15   top25   difffgp     diff3fgp    difffta     diffftp     diffreboundsPerGame     diffassistsPerGame      diffTovPerGame  margin
1           0       0       0       0           0           0           0           0                       0                       0               46
1           0       0       0       -.027       .053        19          -.150       -3                      9                       -7              18
1           0       0       0       .460         -.010       -12         -.087       4                       -8.6                    -9             23
0           0       0       0       .002        -.077       12.25       -.192       11.25                   -1.5                    -2.583          13
0           1       0       0       -.038       -.058       -.083       .057        -3.583                  -7.333                  -1.917          -7          
0           1       0       0       -.051       -.126       2.8         -.059       -3                      -4.8                    -2              -5
1           0       0       0       .067        -.013       7.25        -.022       7.666                   2.333                   -5.833          24
2           0       0       0       -.007       -.135       4.821       -.049       3.929                   -2.803                  -1.357          4
1           1       0       0       -.005       -.057       7.409       -.006       5.5                     -3.25                   2.216           -7
1           0       0       0       -.025       -.122       -4.833      -.117       2.444                   -1.800                  -1.300          15
1           0       0       0       .053        -.022       1.678       -.008       2.922                   1.311                   -1.956          1
0           0       0       0       -.029       -.052       -5.091      -.035       .182                    -1.818                  -2.364          16
1           1       0       0       -.070       -.127       9.417       -.095       -1.917                  -8.167                  .083            -6
2           0       0       0       .005        -.062       1.314       -.038       .801                    -1.487                  .038            4
2           0       0       0       -.051       -.077       1.143       -.071       -1.071                  -5.357                  -1.214          -9
1           0       0       0       -.071       -.105       -3.133      -.043       .067                    -7.800                  -.867           1
2           0       0       0       -.003       -.030       .188        -.116       .063                    -3.938                  -1.188          -1
1           0       1       0       -.043       -.047       -3.059      -.036       .235                    -3.588                  -.353           9
2           0       1       0       .022        -.022       -1.833      -.066       -1.889                  -3.611                  .333            -35
1           0       0       0       .002        -.051       2.149       -.034       -.690                   -2.368                  .982            16
1           0       0       0       0           -.027       -2.450      -.047       1.400                   -4.300                  .750            13
2           0       1       0       -.027       -.046       -2.571      -.013       .429                    -3.238                  -.571           -2
1           0       0       0       -.041       -.090       -1.790      0.070       -2.920                  -4.848                  -1.519          5
1           0       0       0       -.031       -.053       1.609       -.080       6.261                   -3.043                  1.174           -3
2           0       0       0       -.063       -.105       .083        -.027       -.167                   -7.875                  -.500           -16
1           0       0       0       -.035       -.035       1.680       -.068       -2.520                  -3.480                  -1.000          -1
2           0       0       0       -.039       -.067       -1.649      -.075       -3.175                  -4.074                  -1.952          11
2           0       0       0       -.028       -.047       1.444       -.078       6.000                   -2.889                  1.037           -10
1           0       0       0       -.004       -.037       .250        -.079       .429                    -2.875                  -1.464          1
2           1       0       0       -.054       -.091       3.483       -.042       .931                    -5.586                  .397            -10
1           0       1       0       -.001       -.049       -.800       -.077       -1.267                  -3.833                  .467            8
