HomeCourt,top10,top15,top25,difffgp,diff3fgp,difffta,diffftp,diffreboundsPerGame,diffassistsPerGame,diffTovPerGame,margin
1,0,0,0,0,0,0,0,0,0,0,36
0,0,0,0,.049,.005,22,-.103,18,-5,5,2
0,0,0,0,.018,.039,6,.054,4,-2,5,22
0,0,0,0,.056,.024,-1,.010,-4,4.333,-2.667,2
1,0,0,1,-.018,-.015,7.75,-.065,2.75,.75,4,-4
1,0,0,0,-.008,-.068,-1.35,-.020,3.15,-.55,1.85,21
1,0,0,0,.011,.033,-3.5,.034,2.310,-3.476,-2.595,16
1,0,1,0,.009,.034,-1.857,.004,-1.286,.143,-1.143,3
2,0,1,0,.004,-.056,1.611,-.020,-2.875,-.861,.583,25
1,0,0,0,-.022,.021,9.952,.007,8.778,1.111,-2.587,6
2,0,1,0,.031,0,-1.567,.024,.150,-1.017,1.583,2
1,0,0,1,.007,.005,-6.063,.005,4.510,-1.147,2.077,-2
1,0,0,0,.012,.034,5.538,.042,8.353,-2.365,-.532,15
1,0,0,0,.007,.009,2.692,-.095,3.231,-2.923,3.077,-1
1,1,0,0,-.047,-.085,2.420,.008,2.188,-5.714,.732,-14
2,0,1,0,-.011,.003,-1.942,-.012,.858,-.950,-1.688,-8
2,0,0,0,.027,.034,4.825,.029,7.762,-.838,-1.150,3
1,0,0,0,.001,-.004,2.134,.046,3.958,-1.235,.124,15
1,0,1,0,.020,-.031,-3.100,-.019,.633,-1.261,1.611,-2
1,0,1,0,.018,.010,1.599,-.067,.651,-.770,1.305,3
2,0,0,1,.021,.101,-3.132,-.054,3.541,.505,2.718,-9
2,0,0,0,.022,.014,8.631,-.112,8.319,1.600,-1.114,14
2,0,0,0,.012,.017,2.636,-.083,2.318,-.409,3.091,4
2,0,0,0,.016,.013,1.922,.011,4.136,-.043,.433,12
